geo,year,ecosystem_type,percentage_well_represented_protected_areas,datasource
zaf,2010,f,22,sapad2018
zaf,2010,t,26,sapad2018
zaf,2015,f,23,sapad2018
zaf,2015,t,27,sapad2018
zaf,2016,f,23,sapad2018
zaf,2016,t,27,sapad2018
zaf,2017,t,27,sapad2018
zaf,2017,f,23,sapad2018
zaf,2018,t,28,sapad2018
zaf,2018,f,23,sapad2018
