geo,year,unsentenced_detainees,datasource
zaf,2008,30.60,dcsannualreports2018
zaf,2009,29.97,dcsannualreports2018
zaf,2010,29.55,dcsannualreports2018
zaf,2011,29.71,dcsannualreports2018
zaf,2012,28.74,dcsannualreports2018
zaf,2013,30.36,dcsannualreports2018
zaf,2014,29.40,dcsannualreports2018
zaf,2015,26.78,dcsannualreports2018
zaf,2016,26.28,dcsannualreports2018
zaf,2017,26.53,dcsannualreports2018
zaf,2018,26.59,dcsannualreports2018
