geo,year,occupation,sex,currency,median_monthly_earnings_employees,datasource
zaf,2012,skilled_agriculture,female,zar,1300,qlfs2016
zaf,2013,skilled_agriculture,female,zar,1400,qlfs2016
zaf,2014,skilled_agriculture,female,zar,2000,qlfs2016
zaf,2015,skilled_agriculture,female,zar,2113,qlfs2016
zaf,2016,skilled_agriculture,female,zar,2000,qlfs2016
zaf,2017,skilled_agriculture,female,zar,1200,qlfs2016
zaf,2010,craft,female,zar,2067,qlfs2016
zaf,2011,craft,female,zar,2296,qlfs2016
zaf,2012,craft,female,zar,2500,qlfs2016
zaf,2013,craft,female,zar,2500,qlfs2016
zaf,2014,craft,female,zar,2925,qlfs2016
zaf,2015,craft,female,zar,2800,qlfs2016
zaf,2016,craft,female,zar,3200,qlfs2016
zaf,2017,craft,female,zar,3100,qlfs2016
zaf,2010,operator,female,zar,1950,qlfs2016
zaf,2011,operator,female,zar,2000,qlfs2016
zaf,2012,operator,female,zar,2500,qlfs2016
zaf,2013,operator,female,zar,2816,qlfs2016
zaf,2014,operator,female,zar,2600,qlfs2016
zaf,2015,operator,female,zar,2790,qlfs2016
zaf,2016,operator,female,zar,2800,qlfs2016
zaf,2017,operator,female,zar,3250,qlfs2016
zaf,2010,elementary,female,zar,1500,qlfs2016
zaf,2011,elementary,female,zar,1500,qlfs2016
zaf,2012,elementary,female,zar,1600,qlfs2016
zaf,2013,elementary,female,zar,1733,qlfs2016
zaf,2014,elementary,female,zar,1900,qlfs2016
zaf,2015,elementary,female,zar,2000,qlfs2016
zaf,2016,elementary,female,zar,2080,qlfs2016
zaf,2017,elementary,female,zar,2166,qlfs2016
zaf,2010,domestic_worker,female,zar,1000,qlfs2016
zaf,2011,domestic_worker,female,zar,1200,qlfs2016
zaf,2012,domestic_worker,female,zar,1200,qlfs2016
zaf,2013,domestic_worker,female,zar,1300,qlfs2016
zaf,2014,domestic_worker,female,zar,1400,qlfs2016
zaf,2015,domestic_worker,female,zar,1500,qlfs2016
zaf,2016,domestic_worker,female,zar,1500,qlfs2016
zaf,2017,domestic_worker,female,zar,1733,qlfs2016
