geo,year,si_pov_day1
swe,2003,0.2
swe,2004,0.5
swe,2005,0.9
swe,2006,0.2
swe,2007,0.5
swe,2008,0.5
swe,2009,0.5
swe,2010,0.5
swe,2011,0.5
swe,2012,0.5
swe,2013,0.7
swe,2014,0.5
swe,2015,0.5
