sampi_index,name,description
headcount,Headcount,South African Multidimensional Poverty Index (SAMPI).presented in two measures in terms of Headcount and poverty Intensity
intensity,Intensity,South African Multidimensional Poverty Index (SAMPI).presented in two measures in terms of Headcount and poverty Intensity
