geo,year,age_group,perc_youth_15_24_not_in_educ_employ_train,datasource
zaf,2014,15_24,31.3,qlfs2016
zaf,2015,15_24,30.5,qlfs2016
zaf,2016,15_24,31.2,qlfs2016
