geo,year,stillbirth_rate,datasource
zaf,2003,13.3,crvs2015
zaf,2005,12.1,crvs2015
zaf,2007,12.3,crvs2015
zaf,2009,11.6,crvs2015
zaf,2011,11.7,crvs2015
zaf,2013,12.3,crvs2015
zaf,2015,11.2,crvs2015
