geo,year,maternal_mortality,datasource
zaf,2007,276,crvs07_17
zaf,2008,271,crvs07_17
zaf,2009,283,crvs07_17
zaf,2010,248,crvs07_17
zaf,2011,184,crvs07_17
zaf,2012,155,crvs07_17
zaf,2013,143,crvs07_17
zaf,2014,157,crvs07_17
zaf,2015,141,crvs07_17
zaf,2016,121,crvs07_17
